trans_id,timestamp,send_account,receiver_account,amount,is_flag
T100123,2023-02-18T16:49:56.700598,ACC578987,ACC691303,1400.85,False
T4406108,2023-10-07T15:18:51.990458,ACC115376,ACC114787,821.13,True
T100462,2023-01-23T17:08:10.055161,ACC679989,ACC526850,1495.09,False
T100351,2023-06-20T12:31:51.085344,ACC769809,ACC575470,53.35,False
T3701618,2023-07-22T18:24:49.503647,ACC322622,ACC718952,189.76,True
T100665,2023-03-03T09:54:48.471350,ACC376169,ACC902694,299.73,False
T100756,2023-12-01T07:21:39.336772,ACC641585,ACC227615,587.17,False
T100527,2023-12-25T12:48:39.188228,ACC260119,ACC968100,93.69,False
T100070,2023-02-03T09:07:44.925912,ACC197758,ACC552855,697.94,False
T100554,2023-04-14T01:11:45.372860,ACC205656,ACC551839,745.32,False
T100332,2023-09-19T01:59:32.921587,ACC948612,ACC659399,684.33,False
T100994,2023-02-09T15:53:53.711274,ACC312123,ACC212430,562.84,False
T4059067,2023-11-03T13:39:20.683350,ACC653530,ACC442218,1568.25,True
T4583285,2023-10-14T18:58:51.806866,ACC509977,ACC988136,43.05,True
T100310,2023-02-25T17:08:37.710784,ACC211957,ACC237935,211.69,False
T4964324,2023-01-02T02:01:48.646266,ACC338926,ACC308134,34.9,True
T100218,2023-05-20T12:01:22.667685,ACC365015,ACC597440,149.48,False
T100078,2023-03-23T01:58:16.449289,ACC180089,ACC635280,1264.0,False
T100270,2023-09-04T13:08:34.114188,ACC709231,ACC205641,24.46,False
T100051,2023-06-16T21:26:58.204086,ACC502219,ACC299869,386.3,False
T100067,2023-08-06T06:30:51.539486,ACC628313,ACC332311,842.25,False
T100370,2023-01-07T16:32:53.666245,ACC419644,ACC269662,141.22,False
T2726288,2023-11-01T13:46:47.155911,ACC784265,ACC274491,36.84,True
T100629,2023-10-21T18:22:15.558148,ACC816514,ACC904950,289.27,False
T100076,2023-07-24T19:25:06.430190,ACC945362,ACC471371,1163.52,False
T100344,2023-07-29T23:15:12.816565,ACC405925,ACC948188,1637.02,False
T100184,2023-01-14T10:31:44.857517,ACC746947,ACC357724,19.56,False
T100798,2023-05-18T21:40:27.252496,ACC956397,ACC917076,26.76,False
T4338189,2023-08-15T13:56:27.063586,ACC936950,ACC613201,1101.19,True
T100862,2023-02-12T07:50:40.142048,ACC343529,ACC312281,401.07,False
T100163,2023-03-16T18:18:26.956948,ACC238320,ACC781571,7.66,False
T2603850,2023-03-22T18:16:47.697608,ACC926247,ACC545577,279.09,True
T3969790,2023-07-17T07:17:54.223195,ACC569342,ACC875821,547.63,True
T100736,2023-08-12T02:41:49.998520,ACC927614,ACC225400,339.33,False
T100963,2023-08-25T06:23:15.550960,ACC859019,ACC230167,1079.96,False
T715094,2023-06-02T22:02:19.074488,ACC526362,ACC294368,29.38,True
T100044,2023-06-15T05:24:44.828824,ACC592738,ACC405407,324.63,False
T100198,2023-11-03T06:48:35.527312,ACC164633,ACC258471,230.24,False
T3923847,2023-06-23T08:19:04.976930,ACC685472,ACC887843,1063.36,True
T4851383,2023-10-14T18:13:23.776035,ACC544611,ACC805699,1261.95,True
T3967257,2023-02-13T15:02:14.560400,ACC259107,ACC813803,166.33,True
T100852,2023-09-09T04:08:10.506927,ACC336783,ACC771580,18.95,False
T3972628,2023-08-10T15:07:50.450760,ACC541311,ACC113552,194.14,True
T2418319,2023-04-28T21:42:04.201114,ACC344271,ACC708380,33.65,True
T3372314,2023-05-02T06:09:05.373737,ACC724181,ACC449274,148.51,True
T100339,2023-07-19T20:14:26.097368,ACC281833,ACC597938,543.86,False
T100029,2023-09-18T17:39:10.787302,ACC384913,ACC452161,56.98,False
T100901,2023-06-02T20:24:49.240257,ACC932839,ACC988272,23.63,False
T4121488,2023-08-21T18:51:07.178557,ACC804208,ACC477417,13.36,True
T100382,2023-05-16T08:57:30.642756,ACC112782,ACC398477,36.42,False
T100651,2023-11-26T13:43:34.707011,ACC752079,ACC609825,15.49,False
T100049,2023-07-10T00:31:44.680642,ACC893188,ACC622707,215.32,False
T100741,2023-04-02T05:25:57.857584,ACC810769,ACC688528,41.25,False
T100613,2023-08-30T16:42:58.411745,ACC437548,ACC910175,55.52,False
T100745,2023-12-23T04:52:30.907937,ACC120425,ACC958294,500.27,False
T100814,2023-03-07T11:34:57.789094,ACC414682,ACC810277,28.02,False
T100415,2023-11-14T00:30:27.762331,ACC507341,ACC108248,48.31,False
T4339309,2023-07-09T00:33:10.266835,ACC283607,ACC837307,69.51,True
T100874,2023-07-22T12:30:06.410825,ACC899383,ACC330552,452.05,False
T100812,2023-02-14T00:32:18.602158,ACC529580,ACC265969,126.32,False
T4026280,2023-03-07T02:46:17.197917,ACC843390,ACC787888,8.69,True
T100806,2023-09-28T15:26:55.821918,ACC944576,ACC414423,466.12,False
T100885,2023-10-03T00:17:23.471857,ACC527481,ACC275002,21.12,False
T100824,2023-05-12T08:03:56.651452,ACC488438,ACC623968,10.38,False
T100247,2023-04-01T03:29:39.169170,ACC846794,ACC875753,88.54,False
T2390742,2023-07-27T11:44:52.665966,ACC557312,ACC948915,28.38,True
T3153539,2023-06-13T04:25:18.273493,ACC847398,ACC230766,65.51,True
T4580725,2023-01-28T22:31:50.749895,ACC942301,ACC279455,11.11,True
T1216920,2023-01-04T23:21:03.155131,ACC796557,ACC423921,947.34,True
T100813,2023-10-08T18:07:46.927925,ACC821547,ACC957684,8.1,False
T3354738,2023-09-19T11:14:14.880935,ACC785152,ACC630031,37.65,True
T1661452,2023-12-28T20:22:05.115982,ACC779766,ACC976467,1.69,True
T100192,2023-04-02T03:58:40.659834,ACC467506,ACC369125,286.32,False
T3069137,2023-03-12T10:50:53.435124,ACC309406,ACC606223,92.28,True
T100898,2023-12-08T23:07:06.355837,ACC779445,ACC259265,1069.16,False
T100843,2023-12-27T00:51:01.058566,ACC890478,ACC273284,203.08,False
T100101,2023-07-12T10:05:38.170728,ACC963333,ACC702826,390.9,False
T100764,2023-12-24T12:41:17.599271,ACC249898,ACC765458,376.18,False
T100566,2023-03-31T16:45:56.162063,ACC825657,ACC380448,1267.28,False
T1123925,2023-02-18T00:37:05.409923,ACC751968,ACC120769,19.02,True
T2959817,2023-08-25T07:34:11.538981,ACC303168,ACC914503,16.62,True
T1202443,2023-05-15T02:36:35.323426,ACC432233,ACC846121,305.05,True
T100289,2023-07-18T20:06:57.484480,ACC867979,ACC591147,65.1,False
T100599,2023-03-29T18:57:49.340911,ACC411345,ACC303244,236.34,False
T3986255,2023-04-01T11:54:18.633782,ACC464272,ACC314561,50.48,True
T100354,2023-07-30T09:50:54.978359,ACC841978,ACC908442,163.08,False
T4556886,2023-02-13T09:44:10.088281,ACC959273,ACC296513,63.12,True
T100231,2023-05-23T04:40:22.346303,ACC735605,ACC437477,45.64,False
T100297,2023-02-27T07:29:53.705726,ACC484914,ACC710434,310.48,False
T100839,2023-01-08T09:40:48.743260,ACC616137,ACC124655,15.95,False
T100826,2023-10-17T17:26:45.364979,ACC281172,ACC258375,423.16,False
T100993,2023-03-02T09:46:42.364113,ACC646877,ACC973489,10.62,False
T2385288,2023-12-26T16:32:01.842279,ACC727514,ACC294350,26.9,True
T3471805,2023-01-16T10:33:34.305513,ACC635077,ACC575633,5.84,True
T1285566,2023-04-09T05:28:54.715606,ACC852817,ACC234377,66.88,True
T100497,2023-03-02T09:59:26.037393,ACC630647,ACC146803,74.11,False
T100590,2023-07-25T12:33:28.646135,ACC308205,ACC181588,382.29,False
T100043,2023-11-11T12:03:35.973494,ACC420214,ACC696251,470.36,False
T100594,2023-08-14T11:26:27.078756,ACC208711,ACC620518,1151.96,False
T100358,2023-08-28T06:33:51.028506,ACC748410,ACC148026,150.32,False
T1414986,2023-06-08T22:12:30.534983,ACC629694,ACC876135,1.13,True
T100220,2023-01-02T20:59:05.538274,ACC193326,ACC215795,63.54,False
T100931,2023-04-29T22:30:14.001808,ACC474216,ACC594281,0.01,False
T3494247,2023-04-15T12:48:23.355007,ACC863204,ACC222522,15.72,True
T100649,2023-01-22T06:17:39.097643,ACC289365,ACC396323,624.81,False
T100638,2023-04-13T11:15:34.792013,ACC417645,ACC513064,1702.96,False
T100453,2023-12-31T15:26:35.353865,ACC613321,ACC867260,2.2,False
T4010292,2023-06-24T15:33:26.584730,ACC268525,ACC418844,136.0,True
T100168,2023-03-30T19:52:34.244766,ACC722780,ACC174461,1021.83,False
T100867,2023-10-05T08:58:44.829251,ACC718199,ACC829022,324.55,False
T2225061,2023-07-23T05:12:23.026872,ACC285196,ACC930261,19.53,True
T100439,2023-06-28T04:14:39.894188,ACC859813,ACC741199,193.26,False
